date,population
1950-12-31,158804395
1951-12-31,160872266
1952-12-31,163266028
1953-12-31,165910003
1954-12-31,168736387
1955-12-31,171685336
1956-12-31,174705003
1957-12-31,177751483
1958-12-31,180788392
1959-12-31,183786252
1960-12-31,186720571
1961-12-31,189569843
1962-12-31,192313746
1963-12-31,194932403
1964-12-31,197408505
1965-12-31,199733676
1966-12-31,201895760
1967-12-31,203905080
1968-12-31,205805754
1969-12-31,207659263
1970-12-31,209513341
1971-12-31,211384068
1972-12-31,213269802
1973-12-31,215178797
1974-12-31,217114909
1975-12-31,219081251
1976-12-31,221086429
1977-12-31,223135663
1978-12-31,225223303
1979-12-31,227339318
1980-12-31,229476354
1981-12-31,231636058
1982-12-31,233821844
1983-12-31,236030238
1984-12-31,238256844
1985-12-31,240499825
1986-12-31,242763148
1987-12-31,245052789
1988-12-31,247372264
1989-12-31,249725805
1990-12-31,252120309
1991-12-31,254539370
1992-12-31,256990613
1993-12-31,259532129
1994-12-31,262241196
1995-12-31,265163745
1996-12-31,268335003
1997-12-31,271713635
1998-12-31,275175301
1999-12-31,278548150
2000-12-31,281710909
2001-12-31,284607993
2002-12-31,287279318
2003-12-31,289815562
2004-12-31,292354658
2005-12-31,294993511
2006-12-31,297758969
2007-12-31,300608429
2008-12-31,303486012
2009-12-31,306307567
2010-12-31,309011475
2011-12-31,311584047
2012-12-31,314043885
2013-12-31,316400538
2014-12-31,318673411
2015-12-31,320878310
2016-12-31,323015995
2017-12-31,325084756
2018-12-31,327096265
2019-12-31,329064917
2020-12-31,331002651
2021-12-31,332915073
2022-12-31,334805269
2023-12-31,336679228
2024-12-31,338542561
2025-12-31,340399601
2026-12-31,342251981
2027-12-31,344100706
2028-12-31,345947845
2029-12-31,347795038
2030-12-31,349641876
2031-12-31,351490184
2032-12-31,353335452
2033-12-31,355162916
2034-12-31,356952973
2035-12-31,358690999
2036-12-31,360371861
2037-12-31,361997623
2038-12-31,363570010
2039-12-31,365093533
2040-12-31,366572154
2041-12-31,368006423
2042-12-31,369396553
2043-12-31,370746303
2044-12-31,372060392
2045-12-31,373343348
2046-12-31,374598063
2047-12-31,375827634
2048-12-31,377037237
2049-12-31,378232675
2050-12-31,379419102
2051-12-31,380599427
2052-12-31,381776449
2053-12-31,382954886
2054-12-31,384139750
2055-12-31,385334861
2056-12-31,386542306
2057-12-31,387762561
2058-12-31,388995481
2059-12-31,390240014
2060-12-31,391494896
2061-12-31,392759632
2062-12-31,394033207
2063-12-31,395312812
2064-12-31,396594900
2065-12-31,397876093
2066-12-31,399154712
2067-12-31,400428621
2068-12-31,401693245
2069-12-31,402943276
2070-12-31,404174399
2071-12-31,405384568
2072-12-31,406572835
2073-12-31,407737648
2074-12-31,408877809
2075-12-31,409992632
2076-12-31,411081498
2077-12-31,412144637
2078-12-31,413183530
2079-12-31,414200417
2080-12-31,415197399
2081-12-31,416175706
2082-12-31,417136523
2083-12-31,418082081
2084-12-31,419014901
2085-12-31,419937440
2086-12-31,420851149
2087-12-31,421757887
2088-12-31,422660912
2089-12-31,423563930
2090-12-31,424469916
2091-12-31,425380718
2092-12-31,426297198
2093-12-31,427219557
2094-12-31,428147714
2095-12-31,429081658
2096-12-31,430021582
2097-12-31,430967919
2098-12-31,431921386
2099-12-31,432882959
2100-12-31,433853891
